Filename,recommendation
0,"residence_location success
 Great, your email address is written in the resume.
 Include your LinkedIn account
 Provide your phone number
 It is preferred to Include your GitHub account, if you have one.
 personal_info success.
 related_experience success
 work_experience_order success
 Include at least four technical skills in your skills section.
 Include at least four soft skills in your skills section.
 Preferably, include at least one relevant educational background in computer science/engineering.
 education_center success
 When you mention your graduation year, it helps the hiring team to find you a matching position.
"
1,"residence_location success
 Great, your email address is written in the resume.
 Include your LinkedIn account
 Provide your phone number
 It is preferred to Include your GitHub account, if you have one.
 personal_info success.
 not_related_experience success
 work_experience_order success
 technical_skills success
 Include at least four soft skills in your skills section.
 Preferably, include at least one relevant educational background in computer science/engineering.
 For your education background, consider mentioning the name of the educational institute or training center you attended
 For your education background, consider mentioning year of graduation.
"
2,"residence_location success
 Great, your email address is written in the resume.
 Include your LinkedIn account
 Provide your phone number
 It is preferred to Include your GitHub account, if you have one.
 personal_info success.
 related_experience success
 work_experience_order success
 technical_skills success
 Include at least four soft skills in your skills section.
 Preferably, include at least one relevant educational background in computer science/engineering.
 For your education background, consider mentioning the name of the educational institute or training center you attended
 When you mention your graduation year, it helps the hiring team to find you a matching position.
"
3,"residence_location success
 Great, your email address is written in the resume.
 Include your LinkedIn account
 Provide your phone number
 It is preferred to Include your GitHub account, if you have one.
 Avoid including personal information like ID number, gender, marital status, date of birth, age, or number of children.
 work_experience_order success
 volunteering success
 Elaborate on your volunteering experiences
 technical_skills success
 Include at least four soft skills in your skills section.
 Preferably, include at least one relevant educational background in computer science/engineering.
 education_center success
 When you mention your graduation year, it helps the hiring team to find you a matching position.
"
9,"residence_location success
 Great, your email address is written in the resume.
 Include your LinkedIn account
 Provide your phone number
 It is preferred to Include your GitHub account, if you have one.
 Avoid including personal information like ID number, gender, marital status, date of birth, age, or number of children.
 Limit relevant work experience in the high-tech industry to a maximum of three positions
 Include a maximum of five different roles/jobs in your work experience
 work_experience_order success
 technical_skills success
 Include at least four soft skills in your skills section.
 Preferably, include at least one relevant educational background in computer science/engineering.
 For your education background, consider mentioning the name of the educational institute or training center you attended
 For your education background, consider mentioning year of graduation.
"
10,"residence_location success
 Great, your email address is written in the resume.
 Include your LinkedIn account
 Provide your phone number
 It is preferred to Include your GitHub account, if you have one.
 personal_info success.
 Arrange work experience in decreasing order by years
 technical_skills success
 Include at least four soft skills in your skills section.
 education_background success
 education_center success
 When you mention your graduation year, it helps the hiring team to find you a matching position.
"
11,"residence_location success
 Great, your email address is written in the resume.
 Include your LinkedIn account
 Provide your phone number
 It is preferred to Include your GitHub account, if you have one.
 Avoid including personal information like ID number, gender, marital status, date of birth, age, or number of children.
 Limit relevant work experience in the high-tech industry to a maximum of three positions
 Arrange work experience in decreasing order by years
 technical_skills success
 Include at least four soft skills in your skills section.
 Preferably, include at least one relevant educational background in computer science/engineering.
 For your education background, consider mentioning the name of the educational institute or training center you attended
 For your education background, consider mentioning year of graduation.
"
12,"residence_location success
 Great, your email address is written in the resume.
 Include your LinkedIn account
 Provide your phone number
 It is preferred to Include your GitHub account, if you have one.
 Avoid including personal information like ID number, gender, marital status, date of birth, age, or number of children.
 not_related_experience success
 work_experience_order success
 Include at least four technical skills in your skills section.
 Include at least four soft skills in your skills section.
 Preferably, include at least one relevant educational background in computer science/engineering.
 For your education background, consider mentioning the name of the educational institute or training center you attended
 When you mention your graduation year, it helps the hiring team to find you a matching position.
"
20,"residence_location success
 Great, your email address is written in the resume.
 Include your LinkedIn account
 Provide your phone number
 It is preferred to Include your GitHub account, if you have one.
 Avoid including personal information like ID number, gender, marital status, date of birth, age, or number of children.
 not_related_experience success
 work_experience_order success
 Include at least four technical skills in your skills section.
 soft_skills success
 education_background success
 education_center success
 For your education background, consider mentioning year of graduation.
"
21,"residence_location success
 Ensure your email address is included
 Include your LinkedIn account
 Provide your phone number
 It is preferred to Include your GitHub account, if you have one.
 personal_info success.
 related_experience success
 work_experience_order success
 volunteering success
 Elaborate on your volunteering experiences
 technical_skills success
 Include at least four soft skills in your skills section.
 Preferably, include at least one relevant educational background in computer science/engineering.
 For your education background, consider mentioning the name of the educational institute or training center you attended
 When you mention your graduation year, it helps the hiring team to find you a matching position.
"
28,"residence_location success
 Great, your email address is written in the resume.
 Include your LinkedIn account
 Provide your phone number
 It is preferred to Include your GitHub account, if you have one.
 personal_info success.
 Limit relevant work experience in the high-tech industry to a maximum of three positions
 not_related_experience success
 work_experience_order success
 technical_skills success
 soft_skills success
 Preferably, include at least one relevant educational background in computer science/engineering.
 education_center success
 When you mention your graduation year, it helps the hiring team to find you a matching position.
"
40,"residence_location success
 Great, your email address is written in the resume.
 Include your LinkedIn account
 Provide your phone number
 It is preferred to Include your GitHub account, if you have one.
 Avoid including personal information like ID number, gender, marital status, date of birth, age, or number of children.
 related_experience success
 Arrange work experience in decreasing order by years
 technical_skills success
 Include at least four soft skills in your skills section.
 Preferably, include at least one relevant educational background in computer science/engineering.
 For your education background, consider mentioning the name of the educational institute or training center you attended
 For your education background, consider mentioning year of graduation.
"
41,"residence_location success
 Great, your email address is written in the resume.
 Include your LinkedIn account
 Provide your phone number
 It is preferred to Include your GitHub account, if you have one.
 personal_info success.
 Include a maximum of five different roles/jobs in your work experience
 work_experience_order success
 technical_skills success
 Include at least four soft skills in your skills section.
 Preferably, include at least one relevant educational background in computer science/engineering.
 education_center success
 For your education background, consider mentioning year of graduation.
"
53,"residence_location success
 Great, your email address is written in the resume.
 Include your LinkedIn account
 Provide your phone number
 It is preferred to Include your GitHub account, if you have one.
 Avoid including personal information like ID number, gender, marital status, date of birth, age, or number of children.
 related_experience success
 work_experience_order success
 technical_skills success
 soft_skills success
 education_background success
 For your education background, consider mentioning the name of the educational institute or training center you attended
 When you mention your graduation year, it helps the hiring team to find you a matching position.
"
60,"residence_location success
 Great, your email address is written in the resume.
 Include your LinkedIn account
 Provide your phone number
 It is preferred to Include your GitHub account, if you have one.
 Avoid including personal information like ID number, gender, marital status, date of birth, age, or number of children.
 related_experience success
 Include a maximum of five different roles/jobs in your work experience
 work_experience_order success
 technical_skills success
 Include at least four soft skills in your skills section.
 Preferably, include at least one relevant educational background in computer science/engineering.
 education_center success
 When you mention your graduation year, it helps the hiring team to find you a matching position.
"
